,rider_id,rider_timestamp,Nth_churn_rate,Nth_users_lost_during_period,Nth_users_at_start_of_period,Nth_percent_of_all_users,Mth_customer_lifetime_value,Mth_number_of_customers,Mth_number_of_purchases,Mth_number_of_unique_customers,Mth_sum_of_customer_lifespans,Mth_total_number_of_purchases,Mth_total_revenue
0,5c74d165-3bd6-4f39-8f92-09090a254b20,2018-03-24T21:25:51,86.97700428714225,23.49510752238174,52.70634387106118,28.75146412437929,27.907563025210084,9,34,6,2,21,178
1,8f60b9bb-08c6-442b-9378-8a13e601822d,2025-07-04T03:42:23,25.647528744368365,64.01280242239524,34.32803651754367,89.78685171860737,7.544642857142857,10,48,7,7,77,252
2,9ecaf4e7-3e90-4a97-a5fe-1afc5316d25b,2016-03-09T09:47:40,55.112694511145904,50.290462196131415,66.2402000776867,64.4204430917759,66.11224489795917,9,21,5,10,92,354
3,7985b649-cf18-4e41-9314-2b1be7376436,2027-12-28T08:05:15,92.96620616953317,42.97224539073482,6.305287527879044,74.11668854896115,35.473958333333336,7,79,1,1,48,272
4,210c9296-380e-484f-a9ed-cb1921ad2d63,2028-05-10T23:33:26,4.7448148331780295,50.068411185565395,84.15405593727472,6.270739131961422,558.6666666666666,10,11,3,4,60,99
5,5cdec3b8-bddc-4791-aaf1-cde4bbcbe2f4,2032-05-06T16:15:31,58.393355905617156,66.58026879461845,15.340921246530392,52.205349251414965,2991.3333333333335,3,32,7,9,17,427
6,6643d8f4-cdf2-4e01-84d8-ec242e69543f,2026-02-15T21:05:04,117.00604281647414,26.236731856004614,95.4552695112357,25.979567093443034,571.695652173913,3,45,7,4,51,439
7,46df521c-5039-4e6b-af73-eb73a726f02c,2014-10-12T14:07:57,23.982290045145483,97.6168744626336,76.07768043239521,36.07694485898403,119.66984126984127,4,54,6,2,60,439
8,e13cd28e-1eee-4349-956c-52fc87f9b7b7,2017-11-21T16:25:01,118.3955868906154,43.51389687374645,98.66632929899181,35.22478497583303,750.375,8,14,7,9,51,233
9,a335488d-9ba5-4604-95ad-1025ee900c5f,2034-12-02T17:50:30,12.041927096057439,48.980236486632364,10.460905370796569,51.19443084977887,63.66176470588236,7,88,7,3,38,999
10,19d7e57d-a94a-4ae2-8aed-e9a0957fa18f,2022-08-03T18:15:24,18.588671391342615,12.7888970732978,76.37506147973822,29.44320661225458,80.57142857142857,3,23,2,7,51,323
11,e57f9a60-fc7a-4391-a47a-c5dd2e05de0c,2015-06-17T02:01:27,52.04912602019827,78.34839756228122,8.750135040453266,50.76899512387711,43.5625,2,1,3,7,98,16
12,0a3aae6d-060c-47de-90c6-cbdc8baef9d5,2017-05-14T11:15:07,43.17663879002704,84.25708373440736,11.124730238921066,68.98508891488456,46.295918367346935,9,85,10,8,92,237
13,839cae34-7619-4879-9185-c2040880c51d,2027-10-21T04:40:41,207.96009913453636,31.142522015101726,62.93155411411249,65.11609766170137,2.822164948453608,4,50,7,1,26,630
14,19860b59-d2f0-431e-b27b-df838962b125,2033-02-19T19:25:05,5.697744926225055,7.5592551050911005,8.232799087411758,57.48396415581831,2.2996323529411766,3,97,3,4,15,396
15,9788b265-5725-4df9-9865-3cd16566dbe7,2024-10-01T22:22:12,7.245898688282471,91.23787303895408,56.80153207295634,36.777410790258934,76.96345514950167,9,52,4,3,3,857
16,d1330caa-3477-4300-bb8e-160eeae97704,2022-03-17T19:19:51,82.54644523683075,11.608294836388644,65.71033029519776,58.603788001756904,24.0,1,85,2,3,97,172
17,287e6140-2b83-4b53-b2a0-5833eb273999,2028-05-30T04:50:20,265.3911061880173,17.867826148670286,46.467922122449565,95.8437727369041,5541.777777777777,8,51,1,3,69,337
18,0398bf92-048f-42a7-999e-7b0294d32d4c,2031-03-03T17:35:59,29.146189862432298,22.760464980110072,31.750173203366472,51.382795221895016,12.714285714285715,4,48,8,3,61,891
19,df3e0361-231f-4664-a2df-a3847dbcb817,2032-12-20T09:12:03,669.3382123960398,82.53243186486445,39.49885990033562,38.13686735084827,3126.0,5,80,1,8,48,846
20,3bdb1e86-ecd8-49ef-8a19-1ddbb97319b8,2021-02-17T00:34:38,5.000335412939645,72.83082476456806,89.2145507426223,34.222092068714396,410.89285714285717,6,7,9,2,46,6
21,467c751b-3e24-4203-a8e4-49f20a866a25,2025-08-11T17:00:46,2.0253887894796767,75.35527857267427,48.61915367985622,3.3353725281767055,74.91666666666666,8,90,1,2,47,559
22,8b2857d7-825c-43ea-a137-8fed26cd62e7,2021-09-19T02:14:21,15.92961244432974,56.19781971261369,84.2050457977951,12.924494250575746,17.48991935483871,6,42,1,3,15,536
23,ca772928-15a4-4725-8b84-92b060921408,2033-04-26T22:12:48,45.0896805599537,69.50285774972983,42.49462717865556,1.659802931736154,53.36538461538461,10,37,9,4,35,459
24,fcd17137-515e-4713-844e-3716a17746b6,2026-10-29T15:08:39,27.073493892051797,12.129830259632746,84.26319310925095,96.66318616294176,185.68421052631575,4,22,6,4,92,685
25,819088f8-3bd9-4467-9fd7-50648c12a4ec,2019-05-20T07:35:33,13.58763622204953,8.98314404174313,37.62724887854991,43.42213057600125,162.13235294117646,2,33,3,6,32,604
26,6597c2e2-edf8-4101-8156-df95b3bf1372,2033-01-27T20:09:28,45.56779918353036,43.2033516560293,8.763312635624942,54.84685071054892,0.0644,1,8,3,2,39,800
27,81ec1802-4bd6-446c-9d81-43ae0d58341c,2030-09-06T21:13:54,76.65183235907777,62.20350026975316,40.92183337035495,82.2725339175746,6.597222222222222,7,99,8,3,35,56
28,b17dadee-9202-4dc8-a22c-2c98b7bfcce2,2031-09-05T17:58:17,170.92125336336693,55.73779351353208,0.9737957934507269,35.96013417771364,24.0,3,63,3,8,25,854
29,d9ee2347-b26a-4f79-bca9-1c039eabcfd2,2033-07-01T06:56:40,6.458276990602931,41.96866745381869,38.25585514457299,53.10427148380511,9.920538720538719,4,92,6,4,47,832
30,7cbc0b7f-3f35-4f66-ab0f-64e0d5592c69,2019-09-16T22:29:40,1.4332806914679128,12.5057016355825,5.251660166287875,78.19998098478365,549.28125,4,35,7,6,38,446
31,1cce1ec4-ca7e-4c61-bbb3-f4c3789ae0a1,2023-07-27T03:02:25,4.438461832815308,60.413841385200705,56.56640222311906,57.66456572995289,2323.2,5,25,5,10,45,311
32,e281da18-a243-4180-bdff-5afb2f0d2eac,2027-06-11T15:13:38,9.278144044484822,33.5457186211916,82.26754071256723,16.113756889526165,5778.181818181819,4,60,4,9,78,898
